Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "tiny1c_breakout.brd" as of: 11/25/25 7:04 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,0.800,0.175,0
C2,Top,0.800,0.250,0
C3,Top,0.125,0.200,0
C4,Top,0.250,0.375,270
C5,Top,0.125,0.475,0
C6,Top,0.100,0.775,0
CON1,Top,0.625,0.375,0
R1,Top,0.250,0.225,90
R2,Top,0.350,0.225,90
TP1,Top,0.630,0.235,0
TP2,Top,0.540,0.235,0
TP3,Top,0.450,0.235,0
TP4,Top,0.925,0.235,0
TP5,Top,1.015,0.235,0
TP6,Top,1.105,0.235,0
U1,Top,0.125,0.350,90
U2,Top,0.100,0.625,0
U3,Top,0.975,0.375,90
